Geographic Unit,Expert,Time Period,Highest Prob,Most Likely Prob,Lowest Prob
Northwest MT/ NE Idaho,9,2025,1,1,1
Northwest MT/ NE Idaho,9,2050,0.95,0.8,0.65
Northwest MT/ NE Idaho,9,2100,0.9,0.65,0.35
Northwest MT/ NE Idaho,10,2015,1,1,1
Northwest MT/ NE Idaho,10,2025,1,0.95,0.9
Northwest MT/ NE Idaho,10,2050,1,0.7,0.6
Northwest MT/ NE Idaho,10,2100,0.8,0.5,0.2
Washington,1,2015,1,1,1
Washington,1,2025,0.95,0.85,0.75
Washington,1,2050,0.8,0.6,0.5
Washington,1,2100,0.4,0.1,0
Washington,2,2015,NA,NA,NA
Washington,2,2025,0.95,0.8,0.65
Washington,2,2050,0.9,0.7,0.5
Washington,2,2100,0.8,0.5,0.2
Washington,3,2015,1,1,1
Washington,3,2025,0.9,0.6,0.3
Washington,3,2050,1,0.8,0.6
Washington,3,2100,0.9,0.5,0.1
Washington,4,2015,1,1,1
Washington,4,2025,1,0.9,0.8
Washington,4,2050,0.9,0.7,0.5
Washington,4,2100,0.8,0.4,0
Washington,5,2015,1,1,1
Washington,5,2025,1,0.8,0.6
Washington,5,2050,0.8,0.5,0.2
Washington,5,2100,0.7,0.3,0
Washington,6,2015,1,0.97,0.94
Washington,6,2025,0.9,0.8,0.7
Washington,6,2050,0.5,0.3,0.1
Washington,6,2100,0.4,0.05,0
Washington,7,2015,1,1,1
Washington,7,2025,1,0.9,0.8
Washington,7,2050,1,0.8,0.6
Washington,7,2100,0.7,0.4,0.1
Washington,8,2015,1,1,1
Washington,8,2025,0.95,0.75,0.7
Washington,8,2050,0.95,0.75,0.7
Washington,8,2100,0.75,0.3,0.1
Washington,9,2015,1,1,1
Washington,9,2025,0.9,0.8,0.65
Washington,9,2050,0.8,0.5,0.25
Washington,9,2100,0.7,0.35,0.1
Washington,10,2015,1,1,1
Washington,10,2025,1,0.95,0.8
Washington,10,2050,0.95,0.7,0.5
Washington,10,2100,0.8,0.4,0.2
Greater Yellowstone Area,1,2015,0.65,0.6,0.4
Greater Yellowstone Area,1,2025,0.65,0.55,0.35
Greater Yellowstone Area,1,2050,0.4,0.3,0.2
Greater Yellowstone Area,1,2100,0.15,0.05,0
Greater Yellowstone Area,2,2015,0.3,0.1,0
Greater Yellowstone Area,2,2025,0.4,0.2,0
Greater Yellowstone Area,2,2050,0.5,0.15,0
Greater Yellowstone Area,2,2100,0.6,0.1,0
Greater Yellowstone Area,3,2015,0.9,0.75,0.6
Greater Yellowstone Area,3,2025,0.9,0.6,0.3
Greater Yellowstone Area,3,2050,0.9,0.5,0.1
Greater Yellowstone Area,3,2100,0.8,0.4,0
Greater Yellowstone Area,4,2015,1,0.9,0.8
Greater Yellowstone Area,4,2025,0.9,0.6,0.3
Greater Yellowstone Area,4,2050,0.6,0.3,0
Greater Yellowstone Area,4,2100,0.5,0.1,0
Greater Yellowstone Area,5,2015,0.7,0.5,0.3
Greater Yellowstone Area,5,2025,0.7,0.5,0.3
Greater Yellowstone Area,5,2050,0.5,0.2,0
Greater Yellowstone Area,5,2100,0.4,0.1,0
Greater Yellowstone Area,6,2015,1,0.9,0.8
Greater Yellowstone Area,6,2025,0.9,0.7,0.5
Greater Yellowstone Area,6,2050,0.8,0.4,0.2
Greater Yellowstone Area,6,2100,0.3,0.1,0
Greater Yellowstone Area,7,2015,0.8,0.5,0.2
Greater Yellowstone Area,7,2025,0.85,0.7,0.2
